CPUE,averageWeight,gear,gearCount,quartileCount,quartileWeight,species,survey_ID,survey_date,totalCatch,totalWeight
0.17,2.76,Standard gill nets,6,0.5-2.3,1.6-2.5,WTS,5151115331124000,2011-06-20,1,1250
5.06,0.00,Backpack electrofishing,0.790555555555556,N/A,N/A,HSF,5151115331124000,2011-06-20,4,0
43.17,0.42,Standard gill nets,6,7.7-104.7,0.2-0.5,BLB,5151115331124000,2011-06-20,259,48981
0.33,0.00,50-ft beach seine,3,N/A,N/A,BLC,5151115331124000,2011-06-20,1,0
7.33,0.10,Standard gill nets,6,2.0-22.3,0.1-0.2,YEP,5151115331124000,2011-06-20,44,1984
10.67,0.00,50-ft beach seine,3,N/A,N/A,YEP,5151115331124000,2011-06-20,32,0
53.00,0.06,Standard trap nets,9,3.5-57.1,0.1-0.3,BLG,5151115331124000,2011-06-20,477,13130
0.67,0.00,50-ft beach seine,3,N/A,N/A,GSF,5151115331124000,2011-06-20,2,0
0.11,3.09,Standard trap nets,9,0.2-1.2,1.3-2.5,WTS,5151115331124000,2011-06-20,1,1400
9.78,0.10,Standard trap nets,9,2.1-24.1,0.2-0.4,BLC,5151115331124000,2011-06-20,88,4154
8.00,1.71,Standard gill nets,1,2.0-10.8,1.7-3.1,NOP,117309,1994-08-25,8,6210
1.00,0.26,Standard gill nets,1,0.5-2.3,1.6-2.5,WTS,117309,1994-08-25,1,117
14.86,0.03,Standard trap nets,7,3.5-57.1,0.1-0.3,BLG,117309,1994-08-25,104,1200
1.86,0.07,Standard trap nets,7,0.2-0.8,0.3-1.5,LMB,117309,1994-08-25,13,427
0.14,0.00,Standard trap nets,7,N/A,N/A,NOP,117309,1994-08-25,1,0
0.14,0.71,Standard trap nets,7,N/A,N/A,CCF,117309,1994-08-25,1,324
7.00,0.08,Survey seining,1,N/A,N/A,BLG,117309,1994-08-25,7,265
6.00,0.13,Survey seining,1,N/A,N/A,LMB,117309,1994-08-25,6,354
7.00,0.15,Standard gill nets,1,2.0-22.3,0.1-0.2,YEP,117309,1994-08-25,7,485
9.00,1.63,Standard gill nets,2,2.0-10.8,1.7-3.1,NOP,117323,2000-08-21,18,13303
9.50,0.30,Standard gill nets,2,1.7-17.5,0.1-0.3,BLC,117323,2000-08-21,19,2582
106.50,0.56,Standard gill nets,2,7.7-104.7,0.2-0.5,BLB,117323,2000-08-21,213,53728
29.88,0.19,Standard trap nets,8,3.5-57.1,0.1-0.3,BLG,117323,2000-08-21,239,21024
1.38,0.33,Standard trap nets,8,0.4-2.8,0.1-0.2,YEP,117323,2000-08-21,11,1633
0.12,2.04,Standard trap nets,8,0.2-0.8,0.3-1.5,LMB,117323,2000-08-21,1,926
2.50,0.30,Standard trap nets,8,2.1-24.1,0.2-0.4,BLC,117323,2000-08-21,20,2724
1.62,1.24,Standard trap nets,8,N/A,N/A,NOP,117323,2000-08-21,13,7334
34.25,0.85,Standard trap nets,8,1.5-58.0,0.2-0.5,BLB,117323,2000-08-21,274,105909
12.50,0.26,Standard gill nets,2,N/A,N/A,BLG,117323,2000-08-21,25,2922
20.50,0.17,Standard gill nets,2,2.0-22.3,0.1-0.2,YEP,117323,2000-08-21,41,3227
1.50,1.24,Standard gill nets,2,0.3-0.6,0.5-1.5,LMB,117323,2000-08-21,3,1693
4.00,2.70,Standard gill nets,2,2.0-10.8,1.7-3.1,NOP,117312,1996-08-28,8,9784
96.50,0.57,Standard gill nets,2,7.7-104.7,0.2-0.5,BLB,117312,1996-08-28,193,49764
15.17,0.20,Standard trap nets,6,3.5-57.1,0.1-0.3,BLG,117312,1996-08-28,91,8401
1.17,0.16,Standard trap nets,6,0.4-2.8,0.1-0.2,YEP,117312,1996-08-28,7,510
2.50,0.04,Standard trap nets,6,0.2-0.8,0.3-1.5,LMB,117312,1996-08-28,15,303
0.83,0.12,Standard trap nets,6,2.1-24.1,0.2-0.4,BLC,117312,1996-08-28,5,261
0.67,1.02,Standard trap nets,6,N/A,N/A,NOP,117312,1996-08-28,4,1846
2.33,0.99,Standard trap nets,6,1.5-58.0,0.2-0.5,BLB,117312,1996-08-28,14,6295
2.00,0.14,Standard gill nets,2,N/A,N/A,BLG,117312,1996-08-28,4,248
93.00,0.07,Standard gill nets,2,2.0-22.3,0.1-0.2,YEP,117312,1996-08-28,186,6124
0.43,0.11,Standard trap nets,7,0.3-2.8,0.1-0.2,GSF,117319,1998-08-10,3,150
16.50,2.39,Standard gill nets,2,2.0-10.8,1.7-3.1,NOP,117319,1998-08-10,33,35708
4.50,0.18,Standard gill nets,2,1.7-17.5,0.1-0.3,BLC,117319,1998-08-10,9,715
39.50,0.54,Standard gill nets,2,7.7-104.7,0.2-0.5,BLB,117319,1998-08-10,79,19519
26.86,0.12,Standard trap nets,7,3.5-57.1,0.1-0.3,BLG,117319,1998-08-10,188,10311
1.57,0.17,Standard trap nets,7,0.4-2.8,0.1-0.2,YEP,117319,1998-08-10,11,829
0.86,0.97,Standard trap nets,7,N/A,N/A,NOP,117319,1998-08-10,6,2641
9.71,0.22,Standard trap nets,7,2.1-24.1,0.2-0.4,BLC,117319,1998-08-10,68,6823
18.14,0.36,Standard trap nets,7,1.5-58.0,0.2-0.5,BLB,117319,1998-08-10,127,20560
20.00,0.19,Standard gill nets,2,N/A,N/A,BLG,117319,1998-08-10,40,3419
139.50,0.10,Standard gill nets,2,2.0-22.3,0.1-0.2,YEP,117319,1998-08-10,279,12488
1.00,0.49,Standard gill nets,2,0.3-0.6,0.5-1.5,LMB,117319,1998-08-10,2,446
9.50,1.77,Standard gill nets,2,2.0-10.8,1.7-3.1,NOP,117335,2003-08-19,19,15285
13.00,0.08,Standard gill nets,2,1.7-17.5,0.1-0.3,BLC,117335,2003-08-19,26,945
32.50,0.22,Standard gill nets,2,7.7-104.7,0.2-0.5,BLB,117335,2003-08-19,65,6469
28.14,0.10,Standard trap nets,7,3.5-57.1,0.1-0.3,BLG,117335,2003-08-19,197,8601
2.00,0.15,Standard trap nets,7,0.4-2.8,0.1-0.2,YEP,117335,2003-08-19,14,924
0.14,2.43,Standard trap nets,7,0.2-0.8,0.3-1.5,LMB,117335,2003-08-19,1,1100
2.43,0.22,Standard trap nets,7,2.1-24.1,0.2-0.4,BLC,117335,2003-08-19,17,1674
3.29,1.80,Standard trap nets,7,N/A,N/A,NOP,117335,2003-08-19,23,18733
376.57,0.20,Standard trap nets,7,1.5-58.0,0.2-0.5,BLB,117335,2003-08-19,2636,239005
25.50,0.04,Standard gill nets,2,N/A,N/A,BLG,117335,2003-08-19,51,932
19.50,0.09,Standard gill nets,2,2.0-22.3,0.1-0.2,YEP,117335,2003-08-19,39,1552
1.00,0.67,Standard gill nets,3,2.0-10.8,1.7-3.1,NOP,117292,1986-07-16,3,2
1.33,0.75,Standard gill nets,3,1.7-17.5,0.1-0.3,BLC,117292,1986-07-16,4,3
217.00,0.31,Standard gill nets,3,7.7-104.7,0.2-0.5,BLB,117292,1986-07-16,651,200.5
1.33,0.91,Standard gill nets,3,0.5-2.3,1.6-2.5,WTS,117292,1986-07-16,4,3.62
12.50,0.37,Standard trap nets,2,3.5-57.1,0.1-0.3,BLG,117292,1986-07-16,25,9.31
1.00,3.00,Standard trap nets,2,0.2-0.8,0.3-1.5,LMB,117292,1986-07-16,2,6
1.50,0.25,Standard trap nets,2,N/A,N/A,NOP,117292,1986-07-16,3,0.75
4.00,0.81,Standard trap nets,2,2.1-24.1,0.2-0.4,BLC,117292,1986-07-16,8,6.5
179.00,0.30,Standard trap nets,2,1.5-58.0,0.2-0.5,BLB,117292,1986-07-16,358,108.5
0.50,1.87,Standard trap nets,2,0.2-1.2,1.3-2.5,WTS,117292,1986-07-16,1,1.87
0.50,0.44,Standard trap nets,2,0.7-6.5,0.1-0.2,PMK,117292,1986-07-16,1,0.44
34.67,0.21,Standard gill nets,3,2.0-22.3,0.1-0.2,YEP,117292,1986-07-16,104,22
8.67,1.79,Standard gill nets,3,2.0-10.8,1.7-3.1,NOP,117316,1997-07-21,26,21163
0.67,0.11,Standard gill nets,3,1.7-17.5,0.1-0.3,BLC,117316,1997-07-21,2,104
120.67,0.64,Standard gill nets,3,7.7-104.7,0.2-0.5,BLB,117316,1997-07-21,362,104299
42.50,0.04,Standard trap nets,8,3.5-57.1,0.1-0.3,BLG,117316,1997-07-21,340,5414
1.38,0.06,Standard trap nets,8,0.4-2.8,0.1-0.2,YEP,117316,1997-07-21,11,315
0.38,0.09,Standard trap nets,8,2.1-24.1,0.2-0.4,BLC,117316,1997-07-21,3,117
2.25,2.06,Standard trap nets,8,N/A,N/A,NOP,117316,1997-07-21,18,16834
7.50,0.74,Standard trap nets,8,1.5-58.0,0.2-0.5,BLB,117316,1997-07-21,60,20117
9.67,0.19,Standard gill nets,3,N/A,N/A,BLG,117316,1997-07-21,29,2443
85.33,0.17,Standard gill nets,3,2.0-22.3,0.1-0.2,YEP,117316,1997-07-21,256,19961
1.00,0.67,Standard gill nets,3,0.3-0.6,0.5-1.5,LMB,117316,1997-07-21,3,907
26.50,1.41,Standard gill nets,2,2.0-10.8,1.7-3.1,NOP,117332,2002-08-26,53,33915
0.50,0.15,Standard gill nets,2,1.7-17.5,0.1-0.3,BLC,117332,2002-08-26,1,68
60.00,0.32,Standard gill nets,2,7.7-104.7,0.2-0.5,BLB,117332,2002-08-26,120,17195
18.38,0.17,Standard trap nets,8,3.5-57.1,0.1-0.3,BLG,117332,2002-08-26,147,11201
3.00,0.07,Standard trap nets,8,0.4-2.8,0.1-0.2,YEP,117332,2002-08-26,24,764
0.62,1.47,Standard trap nets,8,N/A,N/A,NOP,117332,2002-08-26,5,3336
6.00,0.20,Standard trap nets,8,2.1-24.1,0.2-0.4,BLC,117332,2002-08-26,48,4413
34.00,0.54,Standard trap nets,8,1.5-58.0,0.2-0.5,BLB,117332,2002-08-26,272,66344
0.12,1.17,Standard trap nets,8,0.3-0.8,0.9-3.5,WAE,117332,2002-08-26,1,530
7.00,0.14,Standard gill nets,2,N/A,N/A,BLG,117332,2002-08-26,14,901
106.50,0.08,Standard gill nets,2,2.0-22.3,0.1-0.2,YEP,117332,2002-08-26,213,7760
0.50,0.51,Standard gill nets,2,0.3-0.6,0.5-1.5,LMB,117332,2002-08-26,1,230
12.50,0.12,Standard gill nets,6,1.7-17.5,0.1-0.3,BLC,13561616952932000,2016-06-20,75,4081
9.00,3.06,Standard gill nets,6,2.0-10.8,1.7-3.1,NOP,13561616952932000,2016-06-20,54,74943
5.00,0.52,Standard gill nets,6,7.7-104.7,0.2-0.5,BLB,13561616952932000,2016-06-20,30,7134
0.44,0.32,Standard trap nets,9,N/A,N/A,HSF,13561616952932000,2016-06-20,4,584
0.17,10.42,Standard gill nets,6,N/A,N/A,CCF,13561616952932000,2016-06-20,1,4725
46.78,0.10,Standard trap nets,9,3.5-57.1,0.1-0.3,BLG,13561616952932000,2016-06-20,421,18538
1.33,0.18,Standard trap nets,9,0.4-2.8,0.1-0.2,YEP,13561616952932000,2016-06-20,12,962
1.33,2.41,Standard gill nets,6,0.8-3.8,1.4-3.0,WAE,13561616952932000,2016-06-20,8,8744
0.56,2.31,Standard trap nets,9,N/A,N/A,NOP,13561616952932000,2016-06-20,5,5230
4.44,0.17,Standard trap nets,9,2.1-24.1,0.2-0.4,BLC,13561616952932000,2016-06-20,40,3098
3.22,1.08,Standard trap nets,9,1.5-58.0,0.2-0.5,BLB,13561616952932000,2016-06-20,29,14213
63.63,1.12,Standard electrofishing,0.895833333333333,N/A,N/A,LMB,13561616952932000,2016-06-20,57,28908
0.44,2.02,Standard trap nets,9,0.3-0.8,0.9-3.5,WAE,13561616952932000,2016-06-20,4,3670
22.67,0.17,Standard gill nets,6,N/A,N/A,BLG,13561616952932000,2016-06-20,136,10644
0.22,8.35,Standard trap nets,9,0.4-2.4,1.8-5.1,CAP,13561616952932000,2016-06-20,2,7575
14.33,0.13,Standard gill nets,6,2.0-22.3,0.1-0.2,YEP,13561616952932000,2016-06-20,86,5096
0.33,2.81,Standard gill nets,6,0.3-0.6,0.5-1.5,LMB,13561616952932000,2016-06-20,2,2550
0.22,0.04,Standard trap nets,9,0.3-2.8,0.1-0.2,GSF,117348,2004-09-08,2,39
3.50,2.87,Standard gill nets,2,2.0-10.8,1.7-3.1,NOP,117348,2004-09-08,7,9125
25.00,0.13,Standard gill nets,2,1.7-17.5,0.1-0.3,BLC,117348,2004-09-08,50,2922
65.50,0.24,Standard gill nets,2,7.7-104.7,0.2-0.5,BLB,117348,2004-09-08,131,13995
59.56,0.03,Standard trap nets,9,3.5-57.1,0.1-0.3,BLG,117348,2004-09-08,536,8425
0.33,0.09,Standard trap nets,9,0.4-2.8,0.1-0.2,YEP,117348,2004-09-08,3,128
0.11,6.19,Standard trap nets,9,0.2-0.8,0.3-1.5,LMB,117348,2004-09-08,1,2810
0.50,2.43,Standard gill nets,2,0.8-3.8,1.4-3.0,WAE,117348,2004-09-08,1,1100
1.89,0.14,Standard trap nets,9,2.1-24.1,0.2-0.4,BLC,117348,2004-09-08,17,1072
0.44,2.32,Standard trap nets,9,N/A,N/A,NOP,117348,2004-09-08,4,4204
20.67,0.23,Standard trap nets,9,1.5-58.0,0.2-0.5,BLB,117348,2004-09-08,186,19471
43.00,0.06,Standard gill nets,2,N/A,N/A,BLG,117348,2004-09-08,86,2459
1.50,0.10,Standard gill nets,2,2.0-22.3,0.1-0.2,YEP,117348,2004-09-08,3,140
34.67,0.14,Standard gill nets,6,0.5-13.0,0.1-0.3,WHC,117289,1983-07-20,208,29.5
71.33,0.20,Standard gill nets,6,1.7-17.5,0.1-0.3,BLC,117289,1983-07-20,428,85.5
2.83,4.48,Standard gill nets,6,2.0-10.8,1.7-3.1,NOP,117289,1983-07-20,17,76.12
235.00,0.10,Standard gill nets,6,7.7-104.7,0.2-0.5,BLB,117289,1983-07-20,1410,144
1.33,1.97,Standard gill nets,6,0.5-2.3,1.6-2.5,WTS,117289,1983-07-20,8,15.75
1.25,0.17,Standard trap nets,4,N/A,N/A,HSF,117289,1983-07-20,5,0.87
0.17,1.50,Standard gill nets,6,N/A,N/A,CCF,117289,1983-07-20,1,1.5
125.50,0.18,Standard trap nets,4,3.5-57.1,0.1-0.3,BLG,117289,1983-07-20,502,92.5
45.00,0.13,Standard trap nets,4,0.4-14.4,0.2-0.4,WHC,117289,1983-07-20,180,23.62
0.50,7.00,Standard trap nets,4,N/A,N/A,NOP,117289,1983-07-20,2,14
169.75,0.17,Standard trap nets,4,2.1-24.1,0.2-0.4,BLC,117289,1983-07-20,679,117.5
917.50,0.10,Standard trap nets,4,1.5-58.0,0.2-0.5,BLB,117289,1983-07-20,3670,374.5
1.25,2.50,Standard trap nets,4,0.2-1.2,1.3-2.5,WTS,117289,1983-07-20,5,12.5
0.75,0.10,Standard trap nets,4,0.7-6.5,0.1-0.2,PMK,117289,1983-07-20,3,0.31
0.17,0.12,Standard gill nets,6,N/A,N/A,BLG,117289,1983-07-20,1,0.12
0.50,0.56,Standard trap nets,4,1.0-7.1,0.4-0.8,YEB,117289,1983-07-20,2,1.12
7.67,1.65,Standard gill nets,3,2.0-10.8,1.7-3.1,NOP,117320,1999-09-07,23,17207
6.33,0.24,Standard gill nets,3,1.7-17.5,0.1-0.3,BLC,117320,1999-09-07,19,2037
107.00,0.55,Standard gill nets,3,7.7-104.7,0.2-0.5,BLB,117320,1999-09-07,321,79372
36.20,0.24,Standard trap nets,5,3.5-57.1,0.1-0.3,BLG,117320,1999-09-07,181,19835
2.20,0.23,Standard trap nets,5,0.4-2.8,0.1-0.2,YEP,117320,1999-09-07,11,1132
7.20,0.32,Standard trap nets,5,2.1-24.1,0.2-0.4,BLC,117320,1999-09-07,36,5279
1.00,2.51,Standard trap nets,5,N/A,N/A,NOP,117320,1999-09-07,5,5690
22.40,0.80,Standard trap nets,5,1.5-58.0,0.2-0.5,BLB,117320,1999-09-07,112,40450
11.00,0.16,Standard gill nets,3,N/A,N/A,BLG,117320,1999-09-07,33,2367
34.33,0.20,Standard gill nets,3,2.0-22.3,0.1-0.2,YEP,117320,1999-09-07,103,9438
0.33,0.29,Standard gill nets,3,0.3-0.6,0.5-1.5,LMB,117320,1999-09-07,1,130
0.17,13.05,Standard gill nets,6,N/A,N/A,CCF,18702116974357008,2021-08-16,1,5919
8.33,2.56,Standard gill nets,6,2.0-10.8,1.7-3.1,NOP,18702116974357008,2021-08-16,50,57947
6.17,0.17,Standard gill nets,6,1.7-17.5,0.1-0.3,BLC,18702116974357008,2021-08-16,37,2911
1.67,0.89,Standard gill nets,6,7.7-104.7,0.2-0.5,BLB,18702116974357008,2021-08-16,10,4028
15.17,3.19,Standard gill nets,6,0.8-3.8,1.4-3.0,WAE,18702116974357008,2021-08-16,91,131740
11.67,0.18,Standard gill nets,6,2.0-22.3,0.1-0.2,YEP,18702116974357008,2021-08-16,70,5812
1.00,2.83,Standard gill nets,6,0.3-0.6,0.5-1.5,LMB,18702116974357008,2021-08-16,6,7709
19.83,0.14,Standard gill nets,6,N/A,N/A,BLG,18702116974357008,2021-08-16,119,7731
277.75,0.20,Standard trap nets,4,1.5-58.0,0.2-0.5,BLB,117297,1991-07-15,1111,219
0.25,0.19,Standard trap nets,4,0.4-2.8,0.1-0.2,YEP,117297,1991-07-15,1,0.19
22.00,0.42,Standard gill nets,4,2.0-10.8,1.7-3.1,NOP,117297,1991-07-15,88,36.62
0.75,0.94,Standard gill nets,4,N/A,N/A,CCF,117297,1991-07-15,3,2.81
1.00,1.00,Standard gill nets,4,0.8-4.3,1.0-4.0,CAP,117297,1991-07-15,4,4
0.75,7.50,Standard trap nets,4,N/A,N/A,NOP,117297,1991-07-15,3,22.5
0.75,1.17,Standard trap nets,4,N/A,N/A,CCF,117297,1991-07-15,3,3.5
2.75,1.64,Standard trap nets,4,0.4-2.4,1.8-5.1,CAP,117297,1991-07-15,11,18
0.25,0.44,Standard trap nets,4,N/A,N/A,HSF,117297,1991-07-15,1,0.44
0.50,0.22,Standard gill nets,4,N/A,N/A,BLG,117297,1991-07-15,2,0.44
0.25,0.06,Standard gill nets,4,N/A,N/A,PMK,117297,1991-07-15,1,0.06
14.00,0.30,Standard gill nets,4,1.7-17.5,0.1-0.3,BLC,117297,1991-07-15,56,16.56
163.75,0.16,Standard gill nets,4,7.7-104.7,0.2-0.5,BLB,117297,1991-07-15,655,106.01
13.00,0.17,Standard gill nets,4,2.0-22.3,0.1-0.2,YEP,117297,1991-07-15,52,8.87
0.25,1.62,Standard trap nets,4,0.2-0.8,0.3-1.5,LMB,117297,1991-07-15,1,1.62
2.25,0.16,Standard trap nets,4,0.7-6.5,0.1-0.2,PMK,117297,1991-07-15,9,1.44
12.75,0.34,Standard trap nets,4,3.5-57.1,0.1-0.3,BLG,117297,1991-07-15,51,17.5
11.00,0.45,Standard trap nets,4,2.1-24.1,0.2-0.4,BLC,117297,1991-07-15,44,19.75
0.50,2.65,Standard gill nets,2,N/A,N/A,SLS,117328,2001-08-21,1,1200
5.00,1.21,Standard gill nets,2,2.0-10.8,1.7-3.1,NOP,117328,2001-08-21,10,5495
53.00,0.76,Standard gill nets,2,7.7-104.7,0.2-0.5,BLB,117328,2001-08-21,106,36450
23.50,0.19,Standard trap nets,8,3.5-57.1,0.1-0.3,BLG,117328,2001-08-21,188,16628
2.12,0.08,Standard trap nets,8,0.4-2.8,0.1-0.2,YEP,117328,2001-08-21,17,621
0.50,2.03,Standard trap nets,8,0.2-0.8,0.3-1.5,LMB,117328,2001-08-21,4,3676
1.12,0.90,Standard trap nets,8,N/A,N/A,NOP,117328,2001-08-21,9,3685
1.00,0.46,Standard trap nets,8,2.1-24.1,0.2-0.4,BLC,117328,2001-08-21,8,1678
46.62,0.78,Standard trap nets,8,1.5-58.0,0.2-0.5,BLB,117328,2001-08-21,373,132719
0.12,0.60,Standard trap nets,8,N/A,N/A,CCF,117328,2001-08-21,1,270
0.12,0.02,Standard trap nets,8,0.7-6.5,0.1-0.2,PMK,117328,2001-08-21,1,8
1.00,0.21,Standard gill nets,2,N/A,N/A,BLG,117328,2001-08-21,2,190
40.00,0.14,Standard gill nets,2,2.0-22.3,0.1-0.2,YEP,117328,2001-08-21,80,5213
4.00,2.66,Standard gill nets,2,2.0-10.8,1.7-3.1,NOP,117300,1992-07-20,8,21.31
17.00,0.18,Standard gill nets,2,1.7-17.5,0.1-0.3,BLC,117300,1992-07-20,34,6
171.00,0.22,Standard gill nets,2,7.7-104.7,0.2-0.5,BLB,117300,1992-07-20,342,74
2.00,0.86,Standard gill nets,2,N/A,N/A,CCF,117300,1992-07-20,4,3.44
4.50,0.29,Standard trap nets,4,3.5-57.1,0.1-0.3,BLG,117300,1992-07-20,18,5.19
2.00,0.11,Standard trap nets,4,0.4-2.8,0.1-0.2,YEP,117300,1992-07-20,8,0.91
0.50,2.56,Standard gill nets,2,0.8-3.8,1.4-3.0,WAE,117300,1992-07-20,1,2.56
0.50,0.09,Standard gill nets,2,N/A,N/A,PMK,117300,1992-07-20,1,0.09
0.25,0.69,Standard trap nets,4,0.4-14.4,0.2-0.4,WHC,117300,1992-07-20,1,0.69
1.25,6.42,Standard trap nets,4,N/A,N/A,NOP,117300,1992-07-20,5,32.12
7.50,0.23,Standard trap nets,4,2.1-24.1,0.2-0.4,BLC,117300,1992-07-20,30,6.87
92.75,0.23,Standard trap nets,4,1.5-58.0,0.2-0.5,BLB,117300,1992-07-20,371,86.06
4.00,3.30,Standard gill nets,2,0.8-4.3,1.0-4.0,CAP,117300,1992-07-20,8,26.37
0.50,1.03,Standard trap nets,4,N/A,N/A,CCF,117300,1992-07-20,2,2.06
1.50,0.08,Standard trap nets,4,0.7-6.5,0.1-0.2,PMK,117300,1992-07-20,6,0.5
3.25,2.56,Standard trap nets,4,0.4-2.4,1.8-5.1,CAP,117300,1992-07-20,13,33.31
7.00,0.17,Standard gill nets,2,2.0-22.3,0.1-0.2,YEP,117300,1992-07-20,14,2.31
