site_id,site_name,directions_to_site,administrator_of_site,number_of_docks,number_of_restrooms,number_of_parking_lots,number_of_accessible_spaces,number_of_trailer_spaces,number_of_vehicle_spaces,parking_lot_surface,number_of_ramps,ramp_surface,site_longitude,site_latitude
WAS00019,West Twin Lake Public Water Access Site,From Florence follow 120th Ave south for 2.4 miles to the access.,Lyon County,0,0,1,0,2,1,natural,1,concrete slab,-96.054586,44.208773
WAS00020,Stay Lake Public Water Access Site,"In Arco, on W shore of Stay Lake.",DNR Division of Parks and Trails,1,1,1,0,20,12,asphalt,1,concrete slab,-96.174371,44.388312
WAS00021,Porter Lake Public Water Access Site,Take Hwy 7 south out of Porter for 1.4 miles to access road.,Lincoln County,0,0,1,0,0,6,natural,1,gravel,-96.166678,44.609564
WAS00022,Skunk Lake Public Water Access Site,"In Skunk Lake Wildlife Area, 10 mi S of Lakefield on Mn Hwy 86, then 5 mi W on Cnty Rd 4, then S on Twp Rd, to S shore.",DNR Division of Fish and Wildlife,0,0,1,0,6,0,natural,1,concrete slab,-95.260276,43.527683
WAS00023,Talcot Lake Public Water Access Site,1 mi N of Dundee on S shore.,DNR Division of Fish and Wildlife,1,1,1,0,15,10,gravel,1,concrete slab,-95.456688,43.864484
WAS00024,School Grove Lake Public Water Access Site,5.5 mi SE of Cottonwood on W shore.,DNR Division of Parks and Trails,1,1,1,0,15,12,gravel,1,concrete slab,-95.624564,44.557538
WAS00025,Redwood Lake Public Water Access Site,In Redwood Falls' Perks Park off of Hwy 19.,City of Redwood Falls,1,1,1,0,5,0,asphalt,1,concrete slab,-95.123626,44.540329
WAS00026,"Shetek Lake, Armstrong Bay Public Water Access Site",From Hwy 38 follow CR 15 west for 1 mile to Armstrong Ln.  Take Armstron Ln south for 0.4 miles to the access.,DNR Division of Parks and Trails,0,0,1,0,4,4,natural,0,natural,-95.6625,44.120091
WAS00027,Swan Lake Public Water Access Site,1 mi W of Delft off Cnty Rd 50 on N shore.,DNR Division of Fish and Wildlife,0,0,1,0,0,5,gravel,0,gravel,-95.102977,43.992134
WAS00028,South Heron Lake (E) Public Water Access Site,From CR 86 north of Lakefield follow CR 71 west for 1.8 miles to the access.,Jackson County,0,0,1,0,6,5,gravel,1,concrete slab,-95.210192,43.706524
WAS00029,South Heron Lake (W) Public Water Access Site,"5 miles northwest of Lakefield, off CSAH 20, on the southeast shore of Heron Lake.",Jackson County,0,1,1,0,0,0,gravel,1,concrete slab,-95.232659,43.716527
WAS00030,South Heron Lake (NW) Public Water Access Site,2 mi E of Okabena on Cnty Rd 20 to W shore.,DNR Division of Parks and Trails,0,0,1,0,0,5,gravel,0,natural,-95.268759,43.732627
WAS00031,Round Lake (E) Public Water Access Site,"E of the city of Round Lake on Cnty Rd 4, then 1 mi N on Cnty Rd 3, then W to E shore.",DNR Division of Parks and Trails,1,1,1,0,23,1,asphalt,2,concrete slab,-95.418926,43.558449
WAS00032,Shetek Lake (E) Public Water Access Site,Just south of Lake Shetek State Park on Smith Lake Dr.,Murray County,1,0,1,0,5,5,gravel,1,concrete slab,-95.692594,44.097704
WAS00033,"Shetek Lake, Lake Shetek SPK Public Water Access Site","In Lake Shetek State Park, 2.5 mi NW of Currie to E shore.",DNR Division of Parks and Trails,1,1,1,0,25,0,gravel,1,concrete slab,-95.697718,44.108914
WAS00034,Round Lake Public Water Access Site,6 mi N of Currie to S shore.,DNR Division of Fish and Wildlife,0,0,1,0,0,3,natural,0,natural,-95.660728,44.152238
WAS00035,Sieverding Marsh Lake Public Water Access Site,"From US-59, 1 mile south of Fulda, take 1st St west for 0.6 miles to access road.",DNR Division of Fish and Wildlife,0,0,1,0,0,0,natural,0,natural,-95.604279,43.845632
WAS00036,Richardson Lake Public Water Access Site,4 mi NE of Litchfield to SW shore.,DNR Division of Parks and Trails,1,0,1,0,14,0,gravel,1,concrete slab,-94.443026,45.155077
WAS00037,Washington Lake (E) Public Water Access Site,2 mi W of Dassel to E shore.,DNR Division of Parks and Trails,0,1,1,0,10,0,natural,1,gravel,-94.340954,45.073577
WAS00038,Star Lake Public Water Access Site,5 mi SW of Litchfield to E shore.,DNR Division of Parks and Trails,1,0,1,0,25,0,gravel,1,concrete slab,-94.593811,45.056245
WAS00039,Willie Lake Public Water Access Site,4.5 mi N of Cedar Mills to W shore,DNR Division of Parks and Trails,1,0,1,0,20,0,natural,2,concrete slab,-94.500143,45.008544
WAS00040,Wolf Lake Public Water Access Site,5.5 mi S of Dassel to S shore.,DNR Division of Parks and Trails,1,0,1,0,15,0,natural,1,concrete slab,-94.298692,45.003289
WAS00041,Preston Lake Public Water Access Site,From US 212 follow CR 20 north for 3 miles to 815th Ave.  Take 815th Ave west for 1.3 miles to 558th St.  Take 558th St north for 0.7 miles to the access.,DNR Division of Parks and Trails,1,1,1,0,10,0,gravel,1,concrete slab,-94.544778,44.777988
WAS00042,Ripley Lake (E) Public Water Access Site,On S edge of Litchfield on E shore.,City of Litchfield,0,1,1,0,75,0,asphalt,1,concrete slab,-94.530333,45.102523
WAS00043,Youngstrom Lake Public Water Access Site,2.5 mi SW of Litchfield to S shore.,DNR Division of Parks and Trails,0,0,1,0,8,0,natural,1,gravel,-94.569007,45.080852
WAS00044,Spring Lake Public Water Access Site,0.5 mi N of Dassel to N shore.,Meeker County,0,0,1,0,25,0,gravel,1,concrete slab,-94.302543,45.094339
WAS00045,Stella Lake Public Water Access Site,2.5 mi S of Darwin to S shore,DNR Division of Parks and Trails,1,1,1,0,24,0,asphalt,2,concrete slab,-94.42495,45.060829
WAS00046,"Pomme de Terre River, Larson Landing Public Water Access Site",Head north from Appleton on Hwy 119 for 2 miles to 60th St SW.  Follow 60th St SW east for 1.7 miles to the access.,DNR Division of Parks and Trails,0,0,1,0,2,4,natural,1,natural,-95.98509,45.239322
WAS00047,Tyson Lake Public Water Access Site,3 mi S of the city of Wood Lake to NE shore.,DNR Division of Parks and Trails,1,0,1,0,10,0,gravel,1,concrete slab,-95.525013,44.614834
WAS00048,Timm Lake WMA Public Water Access Site,Access at junction of Hwy 6 and Hwy 46.,DNR Division of Fish and Wildlife,0,0,1,0,5,0,natural,1,natural,-95.540863,44.5423
WAS00049,"Pomme De Terre River, #2 Public Water Access Site",Take 90th St SW west out of Appleton for 2 miles.  Follow CR 51 south for 1 mile to 100th St SW.  Follow 100th St SW west for 1.3 miles to the access.,DNR Division of Parks and Trails,0,0,1,0,0,2,natural,1,gravel,-96.086516,45.176027
WAS00050,"Pomme de Terre River, Appleton Public Water Access Site","In Appleton City Park, off US Hwy 59.",City of Appleton,0,1,1,0,2,5,natural,1,natural,-96.020898,45.203137
WAS00051,Shible Lake Public Water Access Site,4 mi NW of Appleton to S shore.,DNR Division of Fish and Wildlife,0,0,1,0,6,0,natural,1,natural,-96.043709,45.249112
WAS00052,Willmar Lake Public Water Access Site,"In the city of Willmar, W of US Hwy 71.",City of Willmar,1,0,1,0,20,0,gravel,1,concrete slab,-95.031014,45.130627
WAS00053,Swenson Lake Public Water Access Site,"8.5 mi N of Pennock on Cnty Rd 1, then 1 mi E to N shore.",Arctander Township,0,0,1,0,12,0,natural,1,concrete slab,-95.13608,45.271935
WAS00054,Ringo Lake Public Water Access Site,3 mi NW of Spicer on NE shore.,DNR Division of Parks and Trails,1,0,1,0,15,0,natural,1,concrete slab,-95.008572,45.240689
WAS00055,Wakanda Lake (N) Public Water Access Site,From US 71 follow 60th Ave SE east for 2 miles to access road.,DNR Division of Parks and Trails,1,0,1,0,12,0,gravel,1,concrete slab,-95.000434,45.062308
WAS00056,Point Lake Public Water Access Site,6 mi N of Willmar on US Hwy 71 to E shore.,DNR Division of Parks and Trails,1,0,1,0,9,0,natural,1,concrete slab,-95.007947,45.194895
WAS00057,"Zumbro River, Elton Hills Drive  Steps down to the water's edge. Public Water Access Site",In Rochester off of Elton Hills Dr NW,City of Rochester,0,0,1,0,6,12,asphalt,1,,-92.464426,44.043597
WAS00058,Sandy Lake (N) Public Water Access Site,From US 169 follow CR 9 east for 2 miles to CR 19.  Take CR 19 south for 1 mile to CR 28.  Follow CR 28 east for 0.5 miles to 100th St NW.  Take 100th St NW south for 0.2 miles to 287th Ave NW.  Access is on 99 1/2 St NW.,Baldwin Township,0,0,1,0,0,0,natural,1,concrete plank,-93.520145,45.488064
WAS00059,"Zumbro River, Green Bridge Public Water Access Site",Follow Hwy 27/CR 21 north out of Oronoco for 6 miles to the access.,DNR Division of Parks and Trails,0,0,1,0,8,8,gravel,1,natural,-92.482484,44.233401
WAS00060,"Root River, Whalan Public Water Access Site","East side of Whalan on Deep River Rd, Parking is available about 500 ft east.",DNR Division of Parks and Trails,0,1,1,0,0,0,gravel,1,natural,-91.919702,43.734532
WAS00061,"Zumbro River, Oronoco Landing Public Water Access Site",In Oronoco downstream of dam off of Minnesota Ave S.,DNR Division of Parks and Trails,0,0,1,0,0,5,gravel,1,gravel,-92.533157,44.163096
WAS00062,"Root River, Mound Prairie Public Water Access Site",5.8 miles east of Houston on Hwy 16 and north 1.2 miles on Co Rd 25.,DNR Division of Parks and Trails,0,0,1,0,4,5,gravel,1,gravel,-91.446578,43.781533
WAS00063,Otter Lake Public Water Access Site,"From I-35E, 1 block E on Cnty Rd J, then 0.5 mi S on Otter Lake Rd, in Regional County Park.",Ramsey County,0,1,1,0,2,0,asphalt,1,concrete slab,-93.040449,45.116483
WAS00064,August Lake Public Water Access Site,"15 miles northwest of Isabella, off Forest Route 388, on the east shore of August Lake.",U.S. Forest Service,0,0,0,0,0,0,,1,natural,-91.597384,47.76612
WAS00065,Two Deer Lake Public Water Access Site,"11.5 miles northwest of Isabella, on the northwest shore of Two Deer Lake.",U.S. Forest Service,0,0,0,0,0,0,,1,natural,-91.576051,47.687427
WAS00070,Beetle Lake Public Water Access Site,"9 miles northwest of Isabella, on the west shore of Beetle Lake.",U.S. Forest Service,0,0,0,0,0,0,,1,natural,-91.52748,47.696307
WAS00072,Maude Lake Public Water Access Site,"21 miles northwest of Tower, off Forest Route 200, on the east shore of Maude Lake.",U.S. Forest Service,0,0,0,0,0,0,,1,natural,-92.346763,48.106711
WAS00073,Pauline Lake Public Water Access Site,"23 miles northeast of Orr, off CSAH 116, on the northeast shore of Pauline Lake.",U.S. Forest Service,0,1,0,0,0,0,,1,natural,-92.333646,48.127215
WAS00074,"St. Louis River, Fond du Lac Reservoir Public Water Access Site","From Carlton, take Hwy 210 west through Jay Cooke State Park to the Superior Hiking Trail parking lot",DNR Division of Parks and Trails,0,0,1,0,0,0,natural,0,natural,-92.307804,46.668114
WAS00076,"St. Croix River, St. Croix SPK #2 Public Water Access Site","20 mi E of Hinckley in St. Croix State Park and 2.2 mi NE of park headquarters, on N bank of the river.",DNR Division of Parks and Trails,0,0,1,0,12,0,asphalt,1,concrete slab,-92.568317,45.950406
WAS00078,"St. Louis River, Cloquet Public Water Access Site","In Cloquet, N of junction of Highways 33 & 46, on S bank of St. Louis River, in Spafford Park.",City of Cloquet,1,1,1,0,6,4,asphalt,1,concrete slab,-92.463976,46.727313
WAS00079,Pickerel Lake Public Water Access Site,From Hwy 1 follow Co Hwy 128 south for 1.3 miles to Eagles Nest Twp,DNR Division of Parks and Trails,0,0,0,0,0,0,,0,,-92.08811,47.83281
WAS00080,Little Gabbro Lake Public Water Access Site,"8 miles southeast of Section Thirty, on the south shore of Little Garbro Lake.",U.S. Forest Service,0,0,0,0,0,0,,1,natural,-91.629043,47.850496
WAS00081,Dunnigan Lake Public Water Access Site,"14 miles northwest of Isabella, just east of MN Highway #1, on the south shore of Dunnigan Lake.",U.S. Forest Service,0,0,0,0,0,0,,1,natural,-91.635207,47.704162
WAS00082,Norway Lake Public Water Access Site,From Hwy 1 follow Tomahawk Rd east for 2 miles to NF-388.  Take NF-388 north for 4.4miles to access.,DNR Division of Parks and Trails,0,0,0,0,0,0,,0,,-91.585165,47.791424
WAS00083,Surprise Lake Public Water Access Site,"10 miles northwest of Isabella, on the northwest shore of Surprise Lake.",U.S. Forest Service,0,0,0,0,0,0,,1,natural,-91.527131,47.708827
WAS00084,Sand Lake Public Water Access Site,"14 miles southwest of Isabella, 0.5 miles east of CSAH 2, on the east shore of Sand Lake.",U.S. Forest Service,0,1,0,0,0,0,,1,natural,-91.662998,47.581167
WAS00085,"St. Croix River, #6 Public Water Access Site","11 miles southeast of Pine City, on MN Highway #70, north side of the highway, west side of the St. Croix River.",National Park Service,0,1,0,0,0,0,,1,natural,-92.782041,45.773916
WAS00087,Shoepack Lake Public Water Access Site,"9 miles northwest of Chisholm, off County Road 791, on the north shore of Shoe Pack Lake.",U.S. Forest Service,0,0,1,0,2,0,natural,1,gravel,-92.937275,47.620116
WAS00088,Little Isabella River Public Water Access Site,"12 miles northwest of Isabella, off Forest Route 381, on the west shore of the Little Isabella River.",U.S. Forest Service,0,0,0,0,0,0,,1,natural,-91.488348,47.773976
WAS00089,Chow Lake Public Water Access Site,"17 miles northwest of Isabella, on the north shore of Chow Lake.",U.S. Forest Service,0,0,0,0,0,0,,1,natural,-91.686501,47.704153
WAS00090,Bog Lake Public Water Access Site,"Within the Boundary Water Canoe Area, 7 miles northwest of Sawbill Landing, on the south shore of Bog Lake.",U.S. Forest Service,0,1,0,0,0,0,,1,natural,-91.384482,47.781217
WAS00091,Eagles Nest Lake (3) Public Water Access Site,From Hwy 1 follow Co Hwy 128 south for 1.9 miles to Walsh Rd.  Follow Walsh Rd for 2.5 miles to access.,DNR Division of Parks and Trails,0,0,1,0,0,0,grass over gravel,0,natural,-92.115881,47.804667
WAS00092,Kawishiwi Lake Public Water Access Site,"17 miles north of Tofte, on the Sawtill Trail, then 7.8 miles west on County Roads 3 & 7, then 4.4 miles north on Forest Road 354.",U.S. Forest Service,0,0,1,0,0,0,natural,0,natural,-91.102301,47.839129
WAS00093,Dago Lake Public Water Access Site,2.5 mi. W of Sturgeon Lake on Dago Lake Rd.,DNR Division of Forestry,0,2,1,0,10,0,gravel,1,concrete slab,-92.796745,46.354081
WAS00094,"Cass Lake, Allens Bay (N) Public Water Access Site","6 miles N of Cass Lake, 3.4 miles N on Cty Rd 8, E on Cty Rd 33 2.5 miles to north shore of bay.",DNR Division of Parks and Trails,0,0,1,0,2,2,gravel,1,natural,-94.599387,47.43685
WAS00095,Cass Lake (E) Public Water Access Site,"6 miles NE of the town of Cass Lake, .5 miles off County Road 39 on the east side of Cass Lake, in Bimijiwan Recreation Area, formerly known as Knutson Dam.",U.S. Forest Service,1,1,1,0,14,0,gravel,1,concrete slab,-94.484937,47.449883
WAS00096,"Mississippi River, Co Rd 12 Public Water Access Site","E of Bemidji on Co Rd 12 (Power Dam Rd).  On North side of Rd, E side of River.",DNR Division of Parks and Trails,0,0,1,0,0,10,gravel,1,concrete slab,-94.728333,47.483711
WAS00098,Leech Lake River Public Water Access Site,"Co Rd 8 NE to downtown Federal Dam, then  take Federal Dam Dr. to site",U.S. Army Corps of Engineers,0,0,1,0,50,4,natural,1,natural,-94.218464,47.24729
WAS00100,Snowshoe Lake Public Water Access Site,"Hwy 210, N on Co Rd 59 to Snowshoe Drive",Crow Wing County,0,0,1,0,0,4,gravel,0,natural,-94.039965,46.462766
WAS00101,Reddy Creek Public Water Access Site,"7 miles north of Garrison on US Hwy 169, then 4.5 miles east on MN 18",DNR Division of Fish and Wildlife,0,1,1,0,0,6,asphalt,0,natural,-93.585918,46.365884
WAS00102,Puposky (north) Public Water Access Site,"From Bemidji go W on Hwy 2, then N on Co Rd 89, then E on 603, then N on Bog Lake Road then E on Mud Lake Rd to Lake",DNR Division of Fish and Wildlife,0,0,1,0,0,0,natural,1,concrete slab,-94.957729,47.697621
WAS00103,"Otter Tail River, Wannigan Road Public Water Access Site",3 miles north of Frazee on Co. Rd. 29 then east on Wannigan Road 1.5 miles.,DNR Division of Parks and Trails,0,0,0,0,0,0,,1,natural,-95.696202,46.784749
WAS00104,Straight Lake Public Water Access Site,In Osage on southeast side of Straight Lake.,DNR Division of Parks and Trails,1,1,1,0,7,0,gravel,1,concrete slab,-95.251692,46.921936
WAS00105,West Crooked Lake Public Water Access Site,County road 7 to Inspiration Drive,Hubbard County,0,0,1,0,5,0,natural,1,natural,-94.885698,47.036547
WAS00106,Shafer Lake Public Water Access Site,"7.5 miles north of Pillager on County Rd #1, then east on County # 15 for 1.5 miles, south on forest Rd to Shafer lake.",DNR Division of Forestry,0,1,1,0,0,2,gravel,1,natural,-94.423618,46.437795
WAS00107,"South Fork of Crow River, Roberts Park Public Water Access Site","South on School Road then East on Roberts, Access on right.",City of Hutchinson,1,0,1,0,20,20,asphalt,1,concrete slab,-94.401653,44.889841
WAS00108,"Minnesota River, Veteran's Bridge Public Water Access Site",From Belgrade Ave or Mulberry St take the North bound exit to #169 take a right of ramp and follow over dike.,City of North Mankato,0,0,1,0,6,4,gravel,1,concrete slab,-94.002921,44.173074
WAS00109,Three Island Lake Public Water Access Site,"Southwest of Ten Strike, take Hwy 71 south to Gull Lake Loop Rd NE, to 3 Island Rd NE, to Three Island County Park",DNR Division of Parks and Trails,1,0,1,0,3,1,gravel,1,natural,-94.782546,47.627132
WAS00110,"Rum River, Becklin Homestead County Park/WMA Public Water Access Site","From County Rd 14, W on 339th Ave NE, continue W, then N to county park",Isanti County,0,2,1,0,2,6,gravel,1,gravel,-93.277722,45.599619
WAS00111,Thunderbird Public Water Access Site,At trailhead off of Thunder Road,DNR Division of Parks and Trails,0,0,1,0,0,0,natural,0,natural,-91.079317,47.587731
WAS00112,Shoe Public Water Access Site,In the Superior National Forrest off Shoe Lake Road,U.S. Forest Service,0,0,1,0,0,3,natural,0,natural,-90.243506,48.005377
WAS00113,Tait Lake Public Water Access Site,10 mi N of Lutsen on Cnty Rd 4 then 6 mi on Forest Rd 340 to SW shore.,U.S. Forest Service,0,1,1,0,6,6,gravel,1,concrete slab,-90.710237,47.819916
WAS00114,Sea Gull Lake (N) Public Water Access Site,"57 miles north of Grand Marias on the Gunflint Trail, on the east shore of Seagull Lake.",U.S. Forest Service,0,1,1,0,0,100,gravel,1,,-90.893756,48.157244
WAS00115,West Bearskin Lake Public Water Access Site,"23 miles north of Grand Marais, off County Road 65, on the east shore of West Bearskin Lake.",U.S. Forest Service,0,0,1,0,0,5,gravel,0,concrete slab,-90.444231,48.062619
WAS00116,Round Lake Public Water Access Site,"46 miles northwest of Grand Marais, off County Road 47, on the north shore of Round Lake.",U.S. Forest Service,0,1,1,0,0,15,,1,natural,-90.836511,48.074488
WAS00117,Wampus Lake Public Water Access Site,"21 miles north of Grand Marais, off County Road 66, on the north shore of Wampus Lake.",U.S. Forest Service,0,0,1,0,0,3,grass over gravel,1,natural,-90.411059,48.056142
WAS00118,Swamp River Public Water Access Site,13.2 mi NW of Hovland on CSAH 16 & Forest Rd 8 on W bank.,DNR Division of Forestry,0,1,1,0,2,0,gravel,1,gravel,-89.935382,47.987066
WAS00119,Ram Lake Public Water Access Site,"16 miles north of Grand Marais, off Forest Road 152, on the east shore of Ram Lake.",U.S. Forest Service,0,0,1,0,0,7,grass over gravel,1,natural,-90.447551,47.956536
WAS00120,Star Lake Public Water Access Site,18 mi N of Lutsen off Forest Rd 326 on S shore.,DNR Division of Parks and Trails,0,0,1,0,0,3,gravel,1,concrete slab,-90.656904,47.902349
WAS00121,Two Island Lake Public Water Access Site,"3.7 mi N of Grand Marais on Gunflint Trail, then 6 mi N & W on Co Rd 8, 4 mi N on Co Rd 27.",U.S. Forest Service,0,1,1,0,16,8,gravel,1,concrete slab,-90.445494,47.880042
WAS00122,Saganaga Lake Public Water Access Site,"38 miles north of Grand Marais on the Gunflint Trail, on Saganaga Lake.",Cook County,0,1,1,0,0,40,gravel,1,gravel,-90.886484,48.171426
WAS00123,Twenty Lake Public Water Access Site,"1.5 miles North of Malmo on MN Hwy. 47, then 1.75 miles West and North on Twenty Lake Road.",DNR Division of Forestry,0,0,1,0,10,0,gravel,1,natural,-93.533157,46.367954
WAS00125,"St. Croix River, Head of Rapids Public Water Access Site",20 mi E of Hinckley in St. Croix State Park and 12 mi SW of park headquarters on N bank.,DNR Division of Parks and Trails,0,0,1,0,5,0,gravel,0,natural,-92.695548,45.903914
WAS00126,Spring Lake Public Water Access Site,Take Hwy 4 north for 12 miles out of Duluth to Normanna Rd.  Follow Normanna Rd for 5.7 miles to Pequaywan Lake Rd.  Take Pequaywan Lake Rd for 7.3 miles to access.,DNR Division of Parks and Trails,0,0,1,0,4,0,gravel,1,concrete slab,-91.997104,47.068559
WAS00127,Toohey Lake Public Water Access Site,"16 miles north of Schroeder, off Forest Road 170, on the south shore of Toohey Lake.",U.S. Forest Service,0,1,1,0,3,3,gravel,1,concrete slab,-90.953429,47.713018
WAS00128,West Twin Lake Public Water Access Site,22 mi NW of Grand Marais on E shore.,DNR Division of Parks and Trails,0,1,1,0,3,0,gravel,1,concrete slab,-90.39854,47.902809
WAS00129,Silver Island Lake Public Water Access Site,"5.5 mi E of Sawbill Landing on Forest Rd, then 1.5 mi N of Forest Rd 175 to SW shore.",U.S. Forest Service,1,1,1,0,6,0,gravel,1,concrete slab,-91.14853,47.727264
WAS00130,Section 29 Lake Public Water Access Site,"2 miles northeast of Sawbill Landing, just west of Forest Route 356, on the east shore of Section Twenty Nine Lake.",U.S. Forest Service,0,0,1,0,3,0,gravel,1,natural,-91.241879,47.741377
WAS00131,Stony River Public Water Access Site,"6 miles east of Isabella, on County Road 1 and NFD Road 103, on the east bank of the Stony River.",U.S. Forest Service,0,0,1,0,0,1,natural,1,natural,-91.475027,47.606251
WAS00132,Whiteface Reservoir (S) Public Water Access Site,"17.5 miles south of Aurora, off County Road 265, on the south shore of Whiteface Reservoir Lake.",Minnesota Power and Light,0,0,1,0,3,0,gravel,1,concrete slab,-92.190851,47.28225
WAS00133,Strand Lake Public Water Access Site,"3 miles southeast of Cotton, 2 miles south of CSAH 52, on the north shore of Strand Lake.",Cotton (E) Township,0,0,1,0,5,0,gravel,1,natural,-92.410186,47.14658
WAS00134,Sylvania Lake Public Water Access Site,"Just west of Sawbill Landing, off Forest Route 173, on the southeast shore of Sylvania Lake.",U.S. Forest Service,0,0,1,0,0,0,natural,1,natural,-91.275324,47.720264
WAS00135,Wye Lake Public Water Access Site,"7 miles southeast of Sawbill Landing, on the north shore of Wye Lake.",U.S. Forest Service,0,0,0,0,0,0,,1,natural,-91.125484,47.702188
WAS00136,Wilson Lake Public Water Access Site,"Approximately 18 mi N of Finland on Cnty Rd 7, then 2 mi NE on Forest Rd, then 1 mi N on Forest Rd to S shore.",U.S. Forest Service,0,0,1,0,11,5,gravel,1,concrete slab,-91.061209,47.660467
WAS00137,South Sturgeon Lake Public Water Access Site,From Hwy 5 follow Green Rock Rd northwest for 2.8 miles to Rearing Pond Rd.  Follow Rearing Pond Rd south for 2.3 miles to the access.,DNR Division of Parks and Trails,0,0,1,0,4,0,natural,1,concrete slab,-93.069965,47.633167
WAS00138,Wolf Lake Public Water Access Site,Head north on Railroad Trail from Hwy 1.,DNR Division of Parks and Trails,1,0,1,0,8,0,gravel,1,concrete slab,-92.023796,47.878027
WAS00140,St. James Mine Pit Public Water Access Site,Northeast side of Aurora on 3rd Ave N.,City of Aurora,0,0,1,0,2,0,gravel,1,concrete slab,-92.230236,47.534244
WAS00141,Side Lake Public Water Access Site,In Side Lake off of Mccarthy Beach Rd,DNR Division of Parks and Trails,0,0,1,0,0,0,natural,1,concrete slab,-93.027096,47.671927
WAS00142,Sabin Lake (N) Public Water Access Site,"From Biwabik, go east 1.5 miles, go north on Giants Ridge Rd for 4.8 miles. Parking lot and ramp will be to the east.",DNR Division of Parks and Trails,1,0,1,0,10,0,asphalt,1,concrete slab,-92.30353,47.590115
WAS00143,"Rainy Lake, Dove Island Public Water Access Site",8.4 miles east of Ranier on Hwy 11.,DNR Division of Parks and Trails,1,1,1,0,6,0,gravel,1,concrete slab,-93.168737,48.596737
WAS00144,Wynne Lake (S) Public Water Access Site,3.4 miles northeast of Biwabik on Hwy 138.,St. Louis County,1,0,1,0,3,0,gravel,1,concrete slab,-92.298948,47.573422
